chain,project,symbol,tvlUsd,apyBase,apyReward,apy,apyPct7D,mu,sigma,count,predictedClass,predictedProbability,pool
Base,beefy,CLANKER-WETH,43545,,,927067.3887,259640.08202,101731.73956,10.24449,6,,,fb6f8453-5a2e-4b59-9d10-7c0299849db1
Base,beefy,LUNA-WETH,148927,,,883190.77812,822807.60819,39086.27324,10.79845,25,Down,100.0,1c225e69-5ee4-4e3a-a9b4-4715778c912a
Ethereum,spectra-v2,PT-SW-STKGHO(AAVE),1949840,784656.14887,,784656.14887,784511.75937,73.59123,7.05178,52,Down,100.0,2588d040-49b2-4dd7-9a79-62db397a2ab3
Base,beefy,LUM-WETH,81113,,,768863.96759,,401614.53173,3.03036,3,,,18b01be4-6b47-4236-be30-752463f7bacc
Ethereum,spectra-v2,LP-SW-STKGHO(AAVE),1955946,736914.93213,2.0227,736916.95483,736881.72762,49.72373,6.5247,52,Down,100.0,af4100d5-1c9b-40bd-b366-85414252694a
Ethereum,spectra-v2,PT-SW-UNIBTC(BEDROCK),1205576,575909.05842,,575909.05842,575858.92671,60.75455,7.40941,55,Down,100.0,3e2c112e-2615-4623-86a0-a00789b028f9
Base,seamless-protocol,ILM-ETH-USDC-1.5XLOOP,36416,550323.93737,,550323.93737,550323.93737,279.64133,13.87378,95,Down,100.0,a0d5fa3c-5b75-45bd-a1b8-0f675473ed15
Ethereum,spectra-v2,LP-SW-UNIBTC(BEDROCK),1202623,275318.64674,3.6963,275322.34304,275312.2402,35.98112,6.12068,55,Down,100.0,d35dca29-5ac0-4e6a-be0e-3f7c036572cc
Solana,orca,MONA-USDC,24856,193597.99116,,193597.99116,,193597.99116,0.0,1,,,8b27b97a-4ee0-4c6b-8476-da9e885ef881
Solana,kamino-liquidity,SOL-ZEREBRO,1392657,148412.96307,0.0,148412.96307,,20731.46589,9.16143,5,,,d6a7ac3c-08e0-4284-be31-863859d5bb9e
Solana,orca,SOL-DP,23217,139007.76184,,139007.76184,,149901.63175,0.56941,2,,,d386568d-7917-4162-b150-724f9941a7d0
