tvlUsd,apy,apyBase,apyReward,il7d,apyBase7d
79375.0,0.0,,0.0,-0.00024,
1430527.0,43.61218,,43.61218,-0.00098,
1707851.0,39.87464,,39.87464,-0.00154,
2568813.0,26.76453,,26.76453,-0.00062,
2486621.0,29.88445,,29.88445,-0.0002,
2863328.0,23.41888,,23.41888,-0.0017,
2832831.0,22.03443,,22.03443,-0.00028,
2987511.0,20.16315,,20.16315,-1e-05,
6412795.0,30.62922,,30.62922,0.0,
6986486.0,30.88845,,30.88845,-1e-05,
7291174.0,28.85714,,28.85714,-5e-05,
7364566.0,29.11099,,29.11099,-2e-05,
7506313.0,29.99071,,29.99071,0.0,
7820582.0,28.25864,,28.25864,-1e-05,
7832523.0,27.98719,,27.98719,-0.00016,
9600274.0,30.10563,,30.10563,-6e-05,
10337378.0,29.20412,,29.20412,-4e-05,
10773104.0,29.0579,,29.0579,-0.00013,
11222473.0,29.80068,,29.80068,0.0,
11927445.0,29.34896,,29.34896,-0.0001,
12280449.0,27.1952,,27.1952,-0.00014,
12365080.0,27.09948,,27.09948,-0.00034,
12941558.0,22.43781,,22.43781,-0.00011,
13468062.0,21.70084,,21.70084,-0.0001,
13355010.0,21.05754,,21.05754,-0.0013,
13552279.0,19.85527,,19.85527,-0.00102,
13547030.0,19.06156,,19.06156,-0.00051,
13447281.0,18.81678,,18.81678,-0.00071,
14071541.0,17.84361,,17.84361,-0.00182,
13302512.0,16.72533,,16.72533,-0.00026,
12847676.0,16.08687,,16.08687,-0.00018,
12749585.0,17.00294,,17.00294,-0.00025,
12571069.0,19.12135,,19.12135,-9e-05,
12625826.0,19.07056,,19.07056,-0.00011,
12746015.0,19.46319,,19.46319,-0.0002,
12766276.0,19.00042,,19.00042,-0.00037,
14286715.0,22.44407,,22.44407,-0.00069,
13950798.0,23.02943,,23.02943,-0.0003,
14663176.0,21.24809,,21.24809,-0.00012,
14593572.0,20.76642,,20.76642,-1e-05,
14982301.0,19.43217,,19.43217,-0.00025,
15215134.0,20.85481,,20.85481,-6e-05,
14673824.0,26.02903,,26.02903,-2e-05,
15390297.0,22.3659,,22.3659,0.0,
15400606.0,21.43257,,21.43257,0.0,
15379940.0,23.00937,,23.00937,-0.00013,
15624690.0,22.61251,,22.61251,-0.00016,
14792391.0,23.96091,,23.96091,-0.00092,
14734863.0,22.26344,,22.26344,-0.00013,
14647120.0,20.89192,,20.89192,-1e-05,
14588677.0,18.43147,,18.43147,-2e-05,
14869358.0,21.17798,,21.17798,-1e-05,
14993303.0,19.98454,,19.98454,-0.0005,
14921391.0,19.33357,,19.33357,-1e-05,
14989063.0,19.18968,,19.18968,-0.00046,
14941310.0,19.02602,,19.02602,-0.00013,
14521077.0,18.71757,,18.71757,-5e-05,
12911453.0,21.37952,,21.37952,-0.00076,
12907227.0,21.35782,,21.35782,0.0,
13113634.0,22.23622,,22.23622,-2e-05,
13158844.0,21.34151,,21.34151,0.0,
13169994.0,20.83363,,20.83363,-0.00019,
12184561.0,22.1429,,22.1429,-7e-05,
12099075.0,24.88735,,24.88735,-0.00013,
12067141.0,17.98849,,17.98849,-8e-05,
